頁面 ID,舊網址,頁面名稱,頁面類型,原始內容來源,圖片數,新網址,搬遷狀態
PAGE-0001,https://www.dsdiamond.com.tw/account/index,帳戶登入 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/account/index.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/account__index.md,6,/legacy-content/account/index/,功能頁不重建，內容已備份並導向
PAGE-0002,https://www.dsdiamond.com.tw/account/login,帳戶登入 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/account/login.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/account__login.md,6,/legacy-content/account/login/,功能頁不重建，內容已備份並導向
PAGE-0003,https://www.dsdiamond.com.tw/blogs/diamond-symphony-guide,鑽之韻知識學堂 鑽之韻,知識文章,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/blogs/diamond-symphony-guide.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/blogs__diamond-symphony-guide.md,12,/legacy-content/blogs/diamond-symphony-guide/,原始內容已備份，Astro archive 頁已建立
PAGE-0004,https://www.dsdiamond.com.tw/collections/bracelet,手鍊 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/bracelet.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__bracelet.md,11,/legacy-content/collections/bracelet/,原始內容已備份，Astro archive 頁已建立
PAGE-0005,https://www.dsdiamond.com.tw/collections/diamond,精選裸鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/diamond.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__diamond.md,11,/legacy-content/collections/diamond/,原始內容已備份，Astro archive 頁已建立
PAGE-0006,https://www.dsdiamond.com.tw/collections/earring,耳環 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/earring.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__earring.md,11,/legacy-content/collections/earring/,原始內容已備份，Astro archive 頁已建立
PAGE-0007,https://www.dsdiamond.com.tw/collections/necklace,項鍊 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/necklace.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__necklace.md,11,/legacy-content/collections/necklace/,原始內容已備份，Astro archive 頁已建立
PAGE-0008,https://www.dsdiamond.com.tw/collections/pair-ring,結婚對戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/pair-ring.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__pair-ring.md,11,/legacy-content/collections/pair-ring/,原始內容已備份，Astro archive 頁已建立
PAGE-0009,https://www.dsdiamond.com.tw/collections/ring-female,女士鑽戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__ring-female.md,11,/legacy-content/collections/ring-female/,原始內容已備份，Astro archive 頁已建立
PAGE-0010,https://www.dsdiamond.com.tw/collections/ring-man,男士鑽戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-man.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__ring-man.md,11,/legacy-content/collections/ring-man/,原始內容已備份，Astro archive 頁已建立
PAGE-0011,https://www.dsdiamond.com.tw/collections/其他彩鑽,其他彩鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/其他彩鑽.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__其他彩鑽.md,11,/legacy-content/collections/其他彩鑽/,原始內容已備份，Astro archive 頁已建立
PAGE-0012,https://www.dsdiamond.com.tw/collections/彩色鑽石專區,彩色鑽石專區 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/彩色鑽石專區.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__彩色鑽石專區.md,11,/legacy-content/collections/彩色鑽石專區/,原始內容已備份，Astro archive 頁已建立
PAGE-0013,https://www.dsdiamond.com.tw/collections/求婚,求婚戒指 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__求婚.md,11,/legacy-content/collections/求婚/,原始內容已備份，Astro archive 頁已建立
PAGE-0014,https://www.dsdiamond.com.tw/collections/粉鑽,粉鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/粉鑽.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__粉鑽.md,11,/legacy-content/collections/粉鑽/,原始內容已備份，Astro archive 頁已建立
PAGE-0015,https://www.dsdiamond.com.tw/collections/紅鑽,紅鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/紅鑽.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__紅鑽.md,11,/legacy-content/collections/紅鑽/,原始內容已備份，Astro archive 頁已建立
PAGE-0016,https://www.dsdiamond.com.tw/collections/經典女戒,經典女戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__經典女戒.md,11,/legacy-content/collections/經典女戒/,原始內容已備份，Astro archive 頁已建立
