legacyProductId,legacyCyberbizId,productName,englishName,originalDisplayName,legacyUrls,sourceIds,productType,collection,category,variantType,parentProductId,originalDescription,originalSpecifications,expectedImageCount,detectedImageReferences,downloadedImageCount,astroSlug,currentAstroFile,migrationStatus,reviewStatus,notes
DSP-0001,57337029,三生之約,Trilogy Vow,三生之約｜Trilogy Vow,https://www.dsdiamond.com.tw/products/女戒14,SRC-0077 | SRC-0087 | SRC-0240 | SRC-0250 | SRC-0353 | SRC-0402 | SRC-0431 | SRC-0519 | SRC-0529 | SRC-0621,戒指,ring-female | 經典女戒,女士鑽戒 | 經典女戒,,,,,4,4,4,trilogy-vow,src/content/products/trilogy-vow.json,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0002,62864985,三序映華,Trinity Éclat,三序映華｜Trinity Éclat,https://www.dsdiamond.com.tw/products/trinity-eclat-dsdiamond,SRC-0076 | SRC-0086 | SRC-0239 | SRC-0249 | SRC-0352 | SRC-0401 | SRC-0430 | SRC-0518 | SRC-0528 | SRC-0620,戒指,ring-female | 經典女戒,女士鑽戒 | 經典女戒,,,,,4,4,4,trinity-eclat,src/content/products/trinity-eclat.json,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0003,57338999,心弦共鳴,Echo of Us,心弦共鳴｜Echo of Us,,SRC-0064 | SRC-0071 | SRC-0506 | SRC-0513,對戒,pair-ring,結婚對戒,,,,,0,0,0,echo-of-us,src/content/products/echo-of-us.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0004,57339025,心金不渝,Golden Vow,心金不渝｜Golden Vow,,SRC-0041 | SRC-0051 | SRC-0483 | SRC-0493,項鍊,necklace,項鍊,,,,,0,0,0,golden-vow,src/content/products/golden-vow.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0005,57337046,心映愛語,Pink Whisper,心映愛語｜Pink Whisper,,SRC-0103 | SRC-0148 | SRC-0158 | SRC-0182 | SRC-0192 | SRC-0215 | SRC-0225 | SRC-0266 | SRC-0545 | SRC-0590 | SRC-0600,戒指,ring-female | 彩色鑽石專區 | 求婚 | 粉鑽 | 經典女戒,彩色鑽石專區 | 求婚戒指 | 粉鑽,,,,,0,0,0,pink-whisper,src/content/products/pink-whisper.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0006,58093836,心悅之吻,Blush Kiss,心悅之吻｜Blush Kiss,,SRC-0039 | SRC-0049 | SRC-0147 | SRC-0157 | SRC-0214 | SRC-0224 | SRC-0481 | SRC-0491,項鍊,necklace | 彩色鑽石專區 | 粉鑽,項鍊 | 彩色鑽石專區 | 粉鑽,,,,,0,0,0,blush-kiss,src/content/products/blush-kiss.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0007,57339026,心境如初,Rose Embrace,心境如初｜Rose Embrace,,SRC-0038 | SRC-0048 | SRC-0480 | SRC-0490,項鍊,necklace,項鍊,,,,,0,0,0,rose-embrace,src/content/products/rose-embrace.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0008,57339038,心語之戀,Amour de Cœur,心語之戀｜Amour de Cœur,,SRC-0040 | SRC-0050 | SRC-0482 | SRC-0492,項鍊,necklace,項鍊,,,,,0,0,0,amour-de-c-ur,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0009,57337024,心耀之環,Brilliant Embrace,心耀之環｜Brilliant Embrace,,SRC-0104 | SRC-0183 | SRC-0193 | SRC-0267 | SRC-0546 | SRC-0591 | SRC-0601,戒指,ring-female | 求婚 | 經典女戒,求婚戒指,,,,,0,0,0,brilliant-embrace,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0010,57337027,心鑽交織,Eternal Entwine,心鑽交織｜Eternal Entwine,,SRC-0105 | SRC-0184 | SRC-0194 | SRC-0268 | SRC-0547 | SRC-0592 | SRC-0602,戒指,ring-female | 求婚 | 經典女戒,求婚戒指,,,,,0,0,0,eternal-entwine,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0011,58401506,心鑽綻放,Blooming Heart,心鑽綻放｜Blooming Heart,,SRC-0042 | SRC-0052 | SRC-0484 | SRC-0494,項鍊,necklace,項鍊,,,,,0,0,0,blooming-heart,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0012,62305643,方域之璽,Regal Frame,方域之璽｜Regal Frame,https://www.dsdiamond.com.tw/products/regalframe-dsdiamond,SRC-0118 | SRC-0128 | SRC-0279 | SRC-0289 | SRC-0370 | SRC-0419 | SRC-0448 | SRC-0560 | SRC-0570 | SRC-0638,男戒,ring-man | 經典男戒,男士鑽戒 | 經典男戒,,,,,4,4,4,regal-frame,,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0013,57337018,日耀承諾,Solar Vow,日耀承諾｜Solar Vow,,SRC-0108 | SRC-0186 | SRC-0196 | SRC-0271 | SRC-0550 | SRC-0594 | SRC-0604,戒指,ring-female | 求婚 | 經典女戒,求婚戒指,,,,,0,0,0,solar-vow,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0014,57337034,半壁江山,Destined Dominion,半壁江山｜Destined Dominion,,SRC-0098 | SRC-0261 | SRC-0540,戒指,ring-female | 經典女戒,戒指,,,,,0,0,0,destined-dominion,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0015,57337016,永恆心語,Eternal Whisper,永恆心語｜Eternal Whisper,,SRC-0206 | SRC-0614,戒指,求婚,戒指,,,,,0,0,0,eternal-whisper,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0016,57339002,永恆序曲,Timeless Prelude,永恆序曲｜Timeless Prelude,,SRC-0066 | SRC-0073 | SRC-0508 | SRC-0515,對戒,pair-ring,結婚對戒,,,,,0,0,0,timeless-prelude,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0017,57339004,交心之結,Unity Knot,交心之結｜Unity Knot,,SRC-0062 | SRC-0069 | SRC-0504 | SRC-0511,對戒,pair-ring,結婚對戒,,,,,0,0,0,unity-knot,src/content/products/unity-knot.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0018,64735134,交會之光,Union Light,交會之光｜Union Light,https://www.dsdiamond.com.tw/products/union-light-dsdiamond,SRC-0078 | SRC-0088 | SRC-0241 | SRC-0251 | SRC-0354 | SRC-0389 | SRC-0399 | SRC-0403 | SRC-0432 | SRC-0520 | SRC-0530 | SRC-0622,戒指,ring-female | 經典女戒,"女士鑽戒 | 經典女戒 | 女士鑽戒, 經典女戒",,,,,4,4,4,union-light,src/content/products/union-light.json,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0019,57337040,交織之約,Entwined Promise,交織之約｜Entwined Promise,https://www.dsdiamond.com.tw/products/女戒24,SRC-0079 | SRC-0089 | SRC-0178 | SRC-0188 | SRC-0242 | SRC-0252 | SRC-0355 | SRC-0404 | SRC-0433 | SRC-0521 | SRC-0531 | SRC-0586 | SRC-0596 | SRC-0623,戒指,ring-female | 求婚 | 經典女戒,女士鑽戒 | 求婚戒指 | 經典女戒,,,,,4,4,4,entwined-promise,src/content/products/entwined-promise.json,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
