sourceId,sourceProductId,legacyUrl,sourceFile,sourcePageType,sourceType,displayedName,pageTitle,heading,detectedCategory,detectedCollection,imageReferenceCount,descriptionFound,specificationFound,sourceStatus,price,handle
SRC-0004,56750443,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/diamond.html,HTML,window.c12t,裸鑽｜圓鑽,精選裸鑽 鑽之韻,,精選裸鑽,diamond,0,false,false,有效,5000.0,
SRC-0014,56750443,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/diamond.html,HTML,productImpressions,裸鑽｜圓鑽,精選裸鑽 鑽之韻,,精選裸鑽,diamond,0,false,false,列表重複,5000.0,
SRC-0377,56750443,https://www.dsdiamond.com.tw/products/圓鑽,../dsdiamond_backup/site/www.dsdiamond.com.tw/index.html,HTML,products-json,裸鑽｜圓鑽,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,1,true,false,有效,5000,圓鑽
SRC-0426,56750443,https://www.dsdiamond.com.tw/products/圓鑽,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/logout.html,HTML,products-json,裸鑽｜圓鑽,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,1,true,false,有效,5000,圓鑽
SRC-0455,56750443,https://www.dsdiamond.com.tw/products/圓鑽,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/cart.html,HTML,products-json,裸鑽｜圓鑽,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,1,true,false,有效,5000,圓鑽
SRC-0460,56750443,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/diamond.html,系列頁,window.c12t,裸鑽｜圓鑽,精選裸鑽 鑽之韻,,精選裸鑽,diamond,0,false,false,有效,5000.0,
SRC-0470,56750443,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/diamond.html,系列頁,productImpressions,裸鑽｜圓鑽,精選裸鑽 鑽之韻,,精選裸鑽,diamond,0,false,false,列表重複,5000.0,
SRC-0645,56750443,https://www.dsdiamond.com.tw/products/圓鑽,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW.html,首頁產品卡片,products-json,裸鑽｜圓鑽,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,1,true,false,有效,5000,圓鑽
SRC-0206,57337016,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,永恆心語｜Eternal Whisper,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0614,57337016,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,永恆心語｜Eternal Whisper,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0198,57337017,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,星語之願｜Starlit Promise,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,49000,
SRC-0606,57337017,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,星語之願｜Starlit Promise,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,49000,
SRC-0108,57337018,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,日耀承諾｜Solar Vow,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,56000,
SRC-0186,57337018,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,日耀承諾｜Solar Vow,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,56000.0,
SRC-0196,57337018,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,日耀承諾｜Solar Vow,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,56000.0,
SRC-0271,57337018,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,日耀承諾｜Solar Vow,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,56000,
SRC-0550,57337018,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,日耀承諾｜Solar Vow,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,56000,
SRC-0594,57337018,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,日耀承諾｜Solar Vow,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,56000.0,
SRC-0604,57337018,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,日耀承諾｜Solar Vow,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,56000.0,
SRC-0205,57337019,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,極簡星芒｜Minimal Radiance,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0613,57337019,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,極簡星芒｜Minimal Radiance,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0096,57337020,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,凝光序曲｜Luminous Prelude,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,27000,
SRC-0181,57337020,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,凝光序曲｜Luminous Prelude,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,27000.0,
SRC-0191,57337020,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,凝光序曲｜Luminous Prelude,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,27000.0,
SRC-0259,57337020,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,凝光序曲｜Luminous Prelude,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,27000,
SRC-0362,57337020,https://www.dsdiamond.com.tw/products/女戒05,../dsdiamond_backup/site/www.dsdiamond.com.tw/index.html,HTML,products-json,凝光序曲｜Luminous Prelude,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,27000,女戒05
SRC-0411,57337020,https://www.dsdiamond.com.tw/products/女戒05,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/logout.html,HTML,products-json,凝光序曲｜Luminous Prelude,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,27000,女戒05
SRC-0440,57337020,https://www.dsdiamond.com.tw/products/女戒05,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/cart.html,HTML,products-json,凝光序曲｜Luminous Prelude,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,27000,女戒05
SRC-0538,57337020,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,凝光序曲｜Luminous Prelude,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,27000,
SRC-0589,57337020,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,凝光序曲｜Luminous Prelude,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,27000.0,
SRC-0599,57337020,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,凝光序曲｜Luminous Prelude,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,27000.0,
SRC-0630,57337020,https://www.dsdiamond.com.tw/products/女戒05,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW.html,首頁產品卡片,products-json,凝光序曲｜Luminous Prelude,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,27000,女戒05
SRC-0199,57337021,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,星語心願｜Stellar Promise,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0607,57337021,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,星語心願｜Stellar Promise,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0211,57337022,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,秘語心印｜Hidden Whisper,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0619,57337022,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,秘語心印｜Hidden Whisper,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0107,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,戀戀星語｜Starlit Murmurs,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,26000,
SRC-0185,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,戀戀星語｜Starlit Murmurs,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,26000.0,
SRC-0195,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,戀戀星語｜Starlit Murmurs,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,26000.0,
SRC-0270,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,戀戀星語｜Starlit Murmurs,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,26000,
SRC-0549,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,戀戀星語｜Starlit Murmurs,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,26000,
SRC-0593,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,戀戀星語｜Starlit Murmurs,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,26000.0,
SRC-0603,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,戀戀星語｜Starlit Murmurs,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,26000.0,
SRC-0104,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,心耀之環｜Brilliant Embrace,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,25000,
SRC-0183,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,心耀之環｜Brilliant Embrace,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,25000.0,
SRC-0193,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,心耀之環｜Brilliant Embrace,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,25000.0,
SRC-0267,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,心耀之環｜Brilliant Embrace,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,25000,
